ADOPTIONNUMBER,ANIMALID,OWNERID,RETAILERID,MOVEMENTDATE,RETURNDATE,RETURNEDREASONID,RETURNEDBYOWNERID
3439,1229,1304,3,5/24/16,None,13,0
3440,1230,1304,3,5/24/16,None,13,0
3442,1108,1327,0,5/24/16,None,13,0
3431,1222,1326,0,5/24/16,None,13,0
3433,1180,1328,0,5/24/16,None,13,0
3454,1168,1330,0,5/26/16,None,13,0
3455,1189,1341,0,5/26/16,None,13,0
3456,1188,1341,0,5/26/16,None,13,0
3457,1166,1340,0,5/26/16,None,13,0
3452,1252,1319,0,6/23/16,None,13,0
3377,1177,1263,0,5/19/16,None,13,0
3279,1061,1273,3,4/27/16,None,13,0
3283,1041,1278,3,4/30/16,None,13,0
3375,1216,1293,3,5/16/16,None,13,0
3376,1183,1302,3,5/16/16,None,13,0
3380,1226,1301,0,5/16/16,None,13,0
3381,1187,1299,0,5/27/16,None,13,0
3384,1171,1312,3,5/24/16,None,13,0
3477,1209,1352,3,5/31/16,None,13,0
3475,1245,1300,0,6/3/16,None,13,0
2341,822,963,3,11/14/13,11/15/13,4,0
3281,1124,1276,3,5/4/16,9/13/16,9,0
2471,801,1006,0,10/24/15,9/20/16,9,0
3520,1265,1344,0,6/11/16,None,13,0
3478,1264,269,0,6/2/16,None,13,0
3521,1258,1368,0,7/1/16,None,13,0
4051,1339,1623,3,9/20/16,None,13,0
4065,1388,1624,3,9/20/16,None,13,0
4058,1386,1628,0,9/20/16,None,13,0
3513,918,56,0,6/3/16,None,0,0
3514,1145,1255,0,6/3/16,None,0,0
3515,1143,1354,0,6/3/16,None,13,0
3505,1120,1360,0,6/5/16,None,13,0
3517,1094,1240,0,6/6/16,None,13,0
3523,1063,1240,0,6/6/16,None,13,0
3519,1260,1344,0,6/11/16,None,13,0
3527,1112,1267,0,6/12/16,None,13,0
3522,1257,1368,0,7/1/16,None,13,0
3538,480,644,0,6/8/16,None,0,0
3547,1142,1373,0,6/10/16,None,13,0
3556,1211,1356,3,6/11/16,None,13,0
3557,1199,1377,0,6/11/16,None,13,0
3558,1266,1374,0,6/11/16,None,13,0
3572,1159,1384,0,6/14/16,None,13,0
3579,1141,1370,0,6/13/16,None,0,0
3453,1256,1319,0,6/23/16,None,13,0
3465,1234,1347,0,7/1/16,None,13,0
3463,1240,1347,0,6/16/16,None,13,0
3605,1268,1317,0,6/18/16,None,13,0
3606,1198,1391,0,6/19/16,None,13,0
3626,542,400,3,6/21/16,None,13,0
3627,1160,1397,3,6/23/16,None,13,0
3636,1255,1404,0,6/25/16,None,13,0
3632,1207,604,0,6/24/16,None,13,0
3643,1248,1411,0,6/26/16,None,13,0
3646,1274,1405,0,6/28/16,None,13,0
3656,1201,1415,3,6/28/16,None,13,0
